"Table 210-06101 : Statistics on labour force, employment, unemployment and underemployment",,,,
 ,,,,
 , ,Unemployment rate (1),Unemployment rate (1),Unemployment rate (1)
,,(%),(%),(%)
Sex,,Male,Female,Both sexes
Year / Moving 3-month period,,,,
2019,,3.5,2.3,2.9
2020,,6.9,4.7,5.8
2021,,6.1,4.2,5.2
2022,,5.1,3.5,4.3
2023,,3.5,2.4,2.9
11/2018 - 1/2019,,3.1,2.1,2.6
12/2018 - 2/2019,,3.1,2.0,2.6
1/2019 - 3/2019,,3.4,2.1,2.8
2/2019 - 4/2019,,3.4,2.2,2.8
3/2019 - 5/2019,,3.5,2.2,2.9
4/2019 - 6/2019,,3.5,2.2,2.9
5/2019 - 7/2019,,3.6,2.3,3.0
6/2019 - 8/2019,,3.6,2.4,3.0
7/2019 - 9/2019,,3.5,2.5,3.0
8/2019 - 10/2019,,3.7,2.6,3.1
9/2019 - 11/2019,,3.7,2.6,3.1
10/2019 - 12/2019,,3.8,2.5,3.1
11/2019 - 1/2020,,3.7,2.5,3.1
12/2019 - 2/2020,,4.3,2.8,3.5
1/2020 - 3/2020,,5.0,3.5,4.2
2/2020 - 4/2020,,6.0,4.4,5.2
3/2020 - 5/2020,,6.9,5.0,6.0
4/2020 - 6/2020,,7.3,5.2,6.2
5/2020 - 7/2020,,7.6,4.9,6.2
6/2020 - 8/2020,,7.6,5.1,6.4
7/2020 - 9/2020,,7.8,5.3,6.5
8/2020 - 10/2020,,7.8,5.3,6.5
9/2020 - 11/2020,,7.5,4.8,6.2
10/2020 - 12/2020,,7.6,5.0,6.3
11/2020 - 1/2021,,7.8,5.3,6.5
12/2020 - 2/2021,,7.8,5.6,6.7
1/2021 - 3/2021,,7.9,5.6,6.7
2/2021 - 4/2021,,7.5,5.4,6.4
3/2021 - 5/2021,,7.2,4.9,6.0
4/2021 - 6/2021,,6.6,4.4,5.5
5/2021 - 7/2021,,6.4,3.9,5.1
6/2021 - 8/2021,,5.9,3.9,4.9
7/2021 - 9/2021,,5.5,3.8,4.7
8/2021 - 10/2021,,5.1,3.8,4.5
9/2021 - 11/2021,,4.8,3.5,4.1
10/2021 - 12/2021,,4.4,3.2,3.8
11/2021 - 1/2022,,4.2,3.0,3.6
12/2021 - 2/2022,,4.9,3.5,4.2
1/2022 - 3/2022,,6.0,4.0,5.0
2/2022 - 4/2022,,6.5,4.6,5.5
3/2022 - 5/2022,,6.1,4.2,5.2
4/2022 - 6/2022,,5.5,4.1,4.8
5/2022 - 7/2022,,5.3,3.7,4.5
6/2022 - 8/2022,,5.2,3.5,4.3
7/2022 - 9/2022,,4.9,3.4,4.2
8/2022 - 10/2022,,4.7,3.1,3.9
9/2022 - 11/2022,,4.4,2.9,3.7
10/2022 - 12/2022,,4.0,2.7,3.3
11/2022 - 1/2023,,3.7,2.5,3.1
12/2022 - 2/2023,,3.7,2.4,3.1
1/2023 - 3/2023,,3.7,2.4,3.0
2/2023 - 4/2023,,3.7,2.3,3.0
3/2023 - 5/2023,,3.6,2.4,3.0
4/2023 - 6/2023,,3.6,2.4,3.0
5/2023 - 7/2023,,3.4,2.4,2.9
6/2023 - 8/2023,,3.3,2.6,2.9
7/2023 - 9/2023,,3.4,2.6,3.0
8/2023 - 10/2023,,3.5,2.5,3.0
9/2023 - 11/2023,,3.5,2.4,2.9
10/2023 - 12/2023,,3.3,2.2,2.8
11/2023 - 1/2024,,3.2,2.2,2.7
12/2023 - 2/2024,,3.3,2.1,2.7
1/2024 - 3/2024,,3.6,2.3,2.9
2/2024 - 4/2024,,3.7,2.3,3.0
3/2024 - 5/2024,,3.7,2.4,3.0
4/2024 - 6/2024,,3.7,2.3,3.0
5/2024 - 7/2024,,3.8,2.4,3.1
6/2024 - 8/2024,,3.9,2.5,3.2
7/2024 - 9/2024,,3.7,2.6,3.1
8/2024 - 10/2024,,3.7,2.6,3.2
9/2024 - 11/2024,,3.7,2.5,3.1
10/2024 - 12/2024,,3.6,2.3,3.0
11/2024 - 1/2025,,3.5,2.3,2.9
12/2024 - 2/2025,,3.6 p,2.3 p,2.9 p
 ,,,,
Note(s):,,,,
"Number of persons are rounded to the nearest hundred.Figures in the table may not add up to the total due to rounding.For annual estimates less than 1 000 and quarterly estimates less than 3 000, they should be interpreted with caution due to relatively large sampling error.Figures under the ""resident population"" method prior to April-June 1996 are not available.Starting from 2001, annual figures are compiled based on the survey results of the General Household Survey from January to December of the year concerned as well as the mid-year population estimates and may be regarded as referring to the overall situation of the whole year. ",,,,
1 Unemployment rate refers to the proportion of unemployed persons in the labour force.,,,,
p Provisional figure,,,,
 ,,,,
Source:,,,,
"General Household Survey Section (3),Census and Statistics Department(Enquiry telephone no. : 2887 5508 Enquiry e-mail : ghs@censtatd.gov.hk)",,,,
 ,,,,
"Release Date: 18 March, 2025",,,,
